Name:,Obj Fn
"n_1000_c_100000000_g_10_f_0.3_eps_0.1_s_100",93532889
"n_1000_c_100000000_g_10_f_0.3_eps_0.1_s_200",99408566
"n_1000_c_100000000_g_10_f_0.3_eps_0.1_s_300",95514815
"n_1000_c_100000000_g_10_f_0.3_eps_0_s_100",99828603
"n_1000_c_100000000_g_10_f_0.3_eps_0_s_200",99853556
"n_1000_c_100000000_g_10_f_0.3_eps_0_s_300",99878968
"n_1000_c_100000000_g_10_f_0.3_eps_1e-05_s_100",99958023
"n_1000_c_100000000_g_10_f_0.3_eps_1e-05_s_200",99980170
"n_1000_c_100000000_g_10_f_0.3_eps_1e-05_s_300",100005515
"n_1000_c_100000000_g_14_f_0.1_eps_0.0001_s_100",100003152
"n_1000_c_100000000_g_14_f_0.1_eps_0.0001_s_200",100010703
"n_1000_c_100000000_g_14_f_0.1_eps_0.0001_s_300",100027364
"n_1000_c_100000000_g_14_f_0.1_eps_0.001_s_100",99959680
"n_1000_c_100000000_g_14_f_0.1_eps_0.001_s_200",99988197
"n_1000_c_100000000_g_14_f_0.1_eps_0.001_s_300",100009946
"n_1000_c_100000000_g_14_f_0.1_eps_0.01_s_100",99638810
"n_1000_c_100000000_g_14_f_0.1_eps_0.01_s_200",99136747
"n_1000_c_100000000_g_14_f_0.1_eps_0.01_s_300",99681877
"n_1000_c_100000000_g_14_f_0.1_eps_0.1_s_100",91373208
"n_1000_c_100000000_g_14_f_0.1_eps_0.1_s_200",92319559
"n_1000_c_100000000_g_14_f_0.1_eps_0.1_s_300",93766350
"n_1000_c_100000000_g_14_f_0.1_eps_0_s_100",100009523
"n_1000_c_100000000_g_14_f_0.1_eps_0_s_200",100022139
"n_1000_c_100000000_g_14_f_0.1_eps_0_s_300",100033886
"n_1000_c_100000000_g_14_f_0.1_eps_1e-05_s_100",100010167
"n_1000_c_100000000_g_14_f_0.1_eps_1e-05_s_200",100015902
"n_1000_c_100000000_g_14_f_0.1_eps_1e-05_s_300",100033656
"n_1000_c_100000000_g_14_f_0.2_eps_0.0001_s_100",99993842
"n_1000_c_100000000_g_14_f_0.2_eps_0.0001_s_200",100026214
"n_1000_c_100000000_g_14_f_0.2_eps_0.0001_s_300",100034562
"n_1000_c_100000000_g_14_f_0.2_eps_0.001_s_100",99995869
"n_1000_c_100000000_g_14_f_0.2_eps_0.001_s_200",99987236
"n_1000_c_100000000_g_14_f_0.2_eps_0.001_s_300",99974173
"n_1000_c_100000000_g_14_f_0.2_eps_0.01_s_100",99689602
"n_1000_c_100000000_g_14_f_0.2_eps_0.01_s_200",99435994
"n_1000_c_100000000_g_14_f_0.2_eps_0.01_s_300",99392976
"n_1000_c_100000000_g_14_f_0.2_eps_0.1_s_100",91708555
"n_1000_c_100000000_g_14_f_0.2_eps_0.1_s_200",91512769
"n_1000_c_100000000_g_14_f_0.2_eps_0.1_s_300",91023167
"n_1000_c_100000000_g_14_f_0.2_eps_0_s_100",100011328
"n_1000_c_100000000_g_14_f_0.2_eps_0_s_200",100022618
"n_1000_c_100000000_g_14_f_0.2_eps_0_s_300",100036211
"n_1000_c_100000000_g_14_f_0.2_eps_1e-05_s_100",100005316
"n_1000_c_100000000_g_14_f_0.2_eps_1e-05_s_200",100021162
"n_1000_c_100000000_g_14_f_0.2_eps_1e-05_s_300",100031253
"n_1000_c_100000000_g_14_f_0.3_eps_0.0001_s_100",100014005
"n_1000_c_100000000_g_14_f_0.3_eps_0.0001_s_200",100018173
"n_1000_c_100000000_g_14_f_0.3_eps_0.0001_s_300",100032882
"n_1000_c_100000000_g_14_f_0.3_eps_0.001_s_100",99968556
"n_1000_c_100000000_g_14_f_0.3_eps_0.001_s_200",99959799
"n_1000_c_100000000_g_14_f_0.3_eps_0.001_s_300",100040294
"n_1000_c_100000000_g_14_f_0.3_eps_0.01_s_100",99268576
"n_1000_c_100000000_g_14_f_0.3_eps_0.01_s_200",99170079
"n_1000_c_100000000_g_14_f_0.3_eps_0.01_s_300",99422347
"n_1000_c_100000000_g_14_f_0.3_eps_0.1_s_100",91321983
"n_1000_c_100000000_g_14_f_0.3_eps_0.1_s_200",93291109
"n_1000_c_100000000_g_14_f_0.3_eps_0.1_s_300",92745187
"n_1000_c_100000000_g_14_f_0.3_eps_0_s_100",100005080
"n_1000_c_100000000_g_14_f_0.3_eps_0_s_200",100025531
"n_1000_c_100000000_g_14_f_0.3_eps_0_s_300",100038347
"n_1000_c_100000000_g_14_f_0.3_eps_1e-05_s_100",100005616
